checking_account,duration_months,credit_history,credit_amount,savings,employment_years,installment_rate,age,num_credits,approved,decision,probability_default,risk_level,expected_credit_loss
1,50,1,3920,0,3,1,42,2,1,Manual Review,0.5695,Medium,0.0
3,15,2,2853,0,2,1,31,1,1,Manual Review,0.5532,Medium,0.0
2,65,2,1210,4,2,3,61,2,1,Manual Review,0.5959,Medium,0.0
2,11,2,3666,0,0,1,30,1,1,Manual Review,0.5154,Medium,0.0
0,24,2,632,0,0,4,69,2,0,Manual Review,0.5743,Medium,0.0
0,28,2,567,4,2,3,37,1,1,Manual Review,0.5666,Medium,0.0
0,15,2,2953,4,4,3,39,1,1,Manual Review,0.5641,Medium,0.0
3,18,2,2353,0,4,3,45,1,1,Manual Review,0.5722,Medium,0.0
2,62,0,1024,3,1,1,37,1,1,Manual Review,0.5578,Medium,0.0
2,29,2,596,0,2,1,42,2,1,Manual Review,0.5715,Medium,0.0
0,29,1,4758,0,4,2,44,1,0,Manual Review,0.5693,Medium,0.0
3,50,2,373,0,2,3,63,2,1,Rejected,0.6079,High,0.0
3,35,0,917,1,4,1,46,1,1,Manual Review,0.5726,Medium,0.0
0,13,2,1777,1,1,1,64,2,1,Rejected,0.6012,High,0.0
0,19,2,6258,0,4,4,74,1,0,Rejected,0.6152,High,0.0
0,20,2,2011,0,3,1,36,1,1,Manual Review,0.5641,Medium,0.0
1,26,0,2173,1,4,4,62,1,0,Rejected,0.6011,High,0.0
1,29,2,938,0,3,4,54,2,1,Manual Review,0.5828,Medium,0.0
1,10,2,2332,0,2,2,60,1,1,Manual Review,0.5925,Medium,0.0
1,17,2,1610,1,4,1,47,2,1,Manual Review,0.573,Medium,0.0
2,10,2,415,2,1,1,35,2,1,Manual Review,0.5566,Medium,0.0
0,12,2,2791,2,2,3,22,1,1,Manual Review,0.538,Medium,0.0
1,51,2,3217,4,3,3,62,2,0,Rejected,0.6036,High,0.0
1,62,0,2814,0,3,4,63,1,0,Rejected,0.6045,High,0.0
1,42,2,1520,2,4,4,47,1,1,Manual Review,0.573,Medium,0.0
2,21,2,688,1,1,3,22,2,1,Manual Review,0.529,Medium,0.0
0,62,0,233,0,3,1,28,2,0,Manual Review,0.5446,Medium,0.0
1,20,0,1678,0,3,1,43,2,0,Manual Review,0.5698,Medium,0.0
2,17,1,3517,0,0,4,49,1,0,Manual Review,0.5459,Medium,0.0
0,34,2,3282,0,2,1,21,1,0,Manual Review,0.5351,Medium,0.0
2,27,2,2843,1,1,1,65,1,0,Rejected,0.6022,High,0.0
0,63,2,1394,3,2,3,20,2,1,Manual Review,0.5386,Medium,0.0
0,48,2,3533,0,4,2,43,1,1,Manual Review,0.5683,Medium,0.0
3,6,2,3100,0,3,4,67,2,1,Rejected,0.6087,High,0.0
3,40,0,1055,4,3,3,24,1,1,Manual Review,0.5426,Medium,0.0
2,46,1,2543,0,4,1,44,1,1,Manual Review,0.5693,Medium,0.0
1,43,2,964,0,2,4,26,1,0,Manual Review,0.5454,Medium,0.0
0,58,0,2280,0,4,2,53,1,0,Manual Review,0.5809,Medium,0.0
2,42,0,523,0,2,2,45,1,0,Manual Review,0.5759,Medium,0.0
1,18,2,556,0,4,2,43,2,1,Manual Review,0.5683,Medium,0.0
0,7,2,3451,0,1,1,36,2,1,Manual Review,0.5572,Medium,0.0
1,28,4,3133,0,4,2,72,1,1,Rejected,0.6136,High,0.0
0,16,3,2457,0,1,1,19,1,1,Manual Review,0.5287,Medium,0.0
3,36,2,1588,0,2,2,66,1,1,Rejected,0.6109,High,0.0
0,19,2,218,0,3,2,57,2,1,Manual Review,0.5873,Medium,0.0
2,45,2,1394,1,2,4,21,1,1,Manual Review,0.5351,Medium,0.0
1,69,2,2128,3,2,4,73,3,1,Rejected,0.6194,High,0.0
1,58,0,965,0,2,1,22,1,0,Manual Review,0.538,Medium,0.0
2,45,2,837,0,3,2,59,1,1,Manual Review,0.5886,Medium,0.0
0,37,2,4701,1,1,2,55,3,0,Manual Review,0.5801,Medium,0.0
3,33,2,1410,0,0,1,69,1,1,Manual Review,0.5743,Medium,0.0
2,16,2,2129,0,2,4,33,1,1,Manual Review,0.5593,Medium,0.0
3,16,2,2749,1,2,3,26,1,1,Manual Review,0.5454,Medium,0.0
3,21,0,664,4,1,1,56,1,1,Manual Review,0.5808,Medium,0.0
2,35,1,1727,3,2,2,68,1,1,Rejected,0.6129,High,0.0
3,42,1,4254,0,2,1,37,2,1,Manual Review,0.5666,Medium,0.0
0,49,0,6344,2,0,3,74,2,0,Manual Review,0.5783,Medium,0.0
0,32,0,1528,0,2,1,65,1,0,Rejected,0.6099,High,0.0
0,65,2,1223,1,4,4,44,3,1,Manual Review,0.5693,Medium,0.0
1,65,0,1835,0,1,4,57,1,0,Manual Review,0.5823,Medium,0.0
1,60,2,1798,0,2,2,28,1,1,Manual Review,0.5465,Medium,0.0
1,19,1,4489,2,3,3,56,1,1,Manual Review,0.5863,Medium,0.0
3,59,3,667,0,2,4,32,1,1,Manual Review,0.5588,Medium,0.0
1,13,0,1183,0,3,3,67,1,0,Rejected,0.6087,High,0.0
1,33,2,605,4,2,1,59,4,1,Manual Review,0.5916,Medium,0.0
2,28,2,658,0,2,2,37,1,1,Manual Review,0.5666,Medium,0.0
0,8,2,2000,0,0,4,48,1,0,Manual Review,0.5429,Medium,0.0
2,68,0,2829,0,3,3,23,1,0,Manual Review,0.5398,Medium,0.0
0,52,2,880,2,3,3,73,2,1,Rejected,0.6168,High,0.0
3,6,2,2745,2,0,4,49,2,1,Manual Review,0.5459,Medium,0.0
2,48,2,3602,0,2,4,25,1,0,Manual Review,0.5423,Medium,0.0
0,17,0,6958,1,4,4,37,1,0,Manual Review,0.5632,Medium,0.0
0,33,0,1565,0,2,1,49,1,0,Manual Review,0.5849,Medium,0.0
3,71,2,887,2,2,3,70,1,1,Rejected,0.6172,High,0.0
2,21,2,663,0,4,3,57,1,1,Manual Review,0.5858,Medium,0.0
2,65,2,613,0,3,4,42,1,0,Manual Review,0.5695,Medium,0.0
2,40,2,4023,4,2,3,52,1,1,Manual Review,0.5861,Medium,0.0
0,28,2,440,0,3,1,41,1,1,Manual Review,0.569,Medium,0.0
1,51,0,3921,0,4,4,66,1,0,Rejected,0.6049,High,0.0
0,68,2,738,0,2,3,63,3,0,Rejected,0.6079,High,0.0
3,56,0,855,4,2,1,58,3,1,Manual Review,0.5908,Medium,0.0
2,18,2,1311,0,2,2,24,1,1,Manual Review,0.5441,Medium,0.0
1,52,2,843,0,4,1,56,1,1,Manual Review,0.5847,Medium,0.0
0,71,3,3119,0,3,2,59,1,1,Manual Review,0.5886,Medium,0.0
1,15,0,6314,0,1,1,54,1,0,Manual Review,0.5769,Medium,0.0
1,62,0,874,0,4,2,45,2,0,Manual Review,0.5722,Medium,0.0
2,40,0,1047,1,2,3,29,1,1,Manual Review,0.5496,Medium,0.0
2,64,0,1298,4,0,3,23,2,1,Manual Review,0.5063,Medium,0.0
3,46,0,2282,0,2,3,35,3,1,Manual Review,0.5654,Medium,0.0
1,42,2,1309,0,2,4,70,1,1,Rejected,0.6172,High,0.0
0,59,0,4490,0,4,1,25,1,0,Manual Review,0.5399,Medium,0.0
2,66,0,3704,0,1,1,45,1,0,Manual Review,0.5672,Medium,0.0
2,49,2,573,4,4,4,65,1,1,Rejected,0.6039,High,0.0
2,14,2,2245,0,2,1,33,1,0,Manual Review,0.5593,Medium,0.0
2,65,2,4995,0,0,4,64,1,0,Manual Review,0.5701,Medium,0.0
1,28,0,996,1,4,4,31,2,0,Manual Review,0.5499,Medium,0.0
1,55,2,1169,0,2,3,29,1,1,Manual Review,0.5496,Medium,0.0
1,7,0,970,1,2,4,63,1,1,Rejected,0.6079,High,0.0
0,62,0,986,0,2,1,44,2,0,Manual Review,0.5731,Medium,0.0
0,23,2,389,3,4,2,40,2,1,Manual Review,0.567,Medium,0.0
0,66,0,511,4,2,3,46,1,1,Manual Review,0.5763,Medium,0.0
2,57,2,1574,1,1,2,42,2,1,Manual Review,0.5628,Medium,0.0
1,60,2,4968,4,1,4,47,1,1,Manual Review,0.568,Medium,0.0
1,44,1,906,0,2,1,27,1,1,Manual Review,0.5459,Medium,0.0
3,6,2,885,0,3,3,60,1,1,Manual Review,0.5894,Medium,0.0
0,9,0,5774,1,2,3,22,1,0,Manual Review,0.538,Medium,0.0
1,8,2,609,0,1,3,67,2,0,Rejected,0.6042,High,0.0
2,8,4,391,0,1,2,64,2,1,Rejected,0.6012,High,0.0
0,57,2,762,0,2,2,74,2,0,Rejected,0.6201,High,0.0
0,50,3,871,0,4,4,36,1,1,Manual Review,0.5627,Medium,0.0
1,52,0,365,0,2,1,61,1,0,Manual Review,0.5959,Medium,0.0
0,12,2,1336,0,4,4,34,1,0,Manual Review,0.5616,Medium,0.0
3,23,0,3161,2,2,3,51,1,1,Manual Review,0.5857,Medium,0.0
2,64,2,529,0,1,4,47,2,1,Manual Review,0.568,Medium,0.0
2,38,4,1587,0,4,3,57,2,1,Manual Review,0.5858,Medium,0.0
3,53,0,2031,0,2,1,28,1,1,Manual Review,0.5465,Medium,0.0
2,65,2,1384,0,3,3,27,1,1,Manual Review,0.544,Medium,0.0
0,20,0,1717,4,4,4,49,1,1,Manual Review,0.5814,Medium,0.0
3,6,2,1733,0,0,2,46,1,1,Manual Review,0.5393,Medium,0.0
1,35,2,772,0,1,4,21,1,0,Manual Review,0.5259,Medium,0.0
2,16,4,4909,3,3,2,72,1,1,Rejected,0.6159,High,0.0
3,71,2,4016,0,1,1,73,1,1,Rejected,0.6114,High,0.0
1,17,1,3835,0,1,2,32,1,0,Manual Review,0.5499,Medium,0.0
0,14,0,3330,0,0,4,43,1,0,Manual Review,0.5352,Medium,0.0
0,59,0,419,4,0,2,33,1,0,Manual Review,0.5222,Medium,0.0
1,70,0,3105,0,3,4,20,2,0,Manual Review,0.5376,Medium,0.0
3,32,0,2501,0,1,4,42,1,0,Manual Review,0.5628,Medium,0.0
3,12,2,433,0,2,2,32,3,1,Manual Review,0.5588,Medium,0.0
0,70,2,1246,0,2,1,66,1,1,Rejected,0.6109,High,0.0
1,28,2,1847,0,2,3,25,1,0,Manual Review,0.5423,Medium,0.0
1,45,0,5605,0,0,2,54,1,0,Manual Review,0.5473,Medium,0.0
0,12,2,2643,0,3,4,68,1,0,Rejected,0.6097,High,0.0
0,43,2,741,4,0,2,42,2,1,Manual Review,0.5347,Medium,0.0
1,28,0,5746,2,3,2,45,1,1,Manual Review,0.5738,Medium,0.0
3,8,2,1533,0,4,4,55,3,1,Manual Review,0.5843,Medium,0.0
1,14,2,1206,3,2,2,56,2,1,Manual Review,0.5887,Medium,0.0
1,62,0,1139,0,2,2,48,1,0,Manual Review,0.5795,Medium,0.0
2,41,2,403,0,2,2,45,1,1,Manual Review,0.5759,Medium,0.0
1,8,2,1355,1,2,2,57,2,1,Manual Review,0.59,Medium,0.0
3,51,0,2203,3,4,3,33,1,1,Manual Review,0.556,Medium,0.0
3,21,3,1087,2,4,4,44,2,1,Manual Review,0.5693,Medium,0.0
0,40,2,2072,0,2,2,19,1,0,Manual Review,0.5383,Medium,0.0
1,63,2,741,4,2,3,74,1,1,Rejected,0.6201,High,0.0
1,51,2,1322,0,4,3,22,1,1,Manual Review,0.5365,Medium,0.0
1,31,2,1906,4,4,2,47,1,1,Manual Review,0.573,Medium,0.0
0,72,2,1722,4,2,2,19,2,1,Manual Review,0.5383,Medium,0.0
2,43,2,409,0,2,4,61,1,1,Manual Review,0.5959,Medium,0.0
1,48,0,1041,2,1,3,68,2,0,Rejected,0.6051,High,0.0
0,65,2,5664,0,4,3,64,1,1,Rejected,0.6029,High,0.0
1,61,2,998,0,1,3,40,1,0,Manual Review,0.5618,Medium,0.0
3,70,2,1499,0,2,1,29,1,1,Manual Review,0.5496,Medium,0.0
0,59,0,1381,0,1,3,28,1,0,Manual Review,0.5376,Medium,0.0
0,43,2,5190,4,1,3,35,1,1,Manual Review,0.5566,Medium,0.0
1,43,0,4155,1,2,3,54,1,0,Manual Review,0.585,Medium,0.0
3,36,0,2824,0,4,2,74,2,1,Rejected,0.6152,High,0.0
0,9,0,679,3,0,1,65,1,0,Manual Review,0.5711,Medium,0.0
2,22,1,1973,4,2,1,44,1,1,Manual Review,0.5731,Medium,0.0
2,43,2,2331,0,1,4,66,2,1,Rejected,0.6032,High,0.0
0,62,2,846,4,1,2,39,2,1,Manual Review,0.5589,Medium,0.0
2,62,0,737,0,2,2,31,1,0,Manual Review,0.5532,Medium,0.0
1,51,2,5790,3,2,1,27,1,1,Manual Review,0.5459,Medium,0.0
2,44,2,1163,0,1,1,29,2,1,Manual Review,0.5407,Medium,0.0
2,16,2,5388,0,2,3,29,1,1,Manual Review,0.5496,Medium,0.0
1,48,0,3286,0,1,3,24,1,0,Manual Review,0.5352,Medium,0.0
0,56,2,2051,1,2,3,19,1,0,Manual Review,0.5383,Medium,0.0
3,45,4,2126,0,4,1,72,2,1,Rejected,0.6136,High,0.0
1,66,2,482,0,4,3,24,1,1,Manual Review,0.5421,Medium,0.0
0,30,0,1746,0,2,1,31,4,0,Manual Review,0.5532,Medium,0.0
0,41,0,4599,4,2,1,40,1,1,Manual Review,0.5706,Medium,0.0
2,63,2,2553,0,4,2,74,2,1,Rejected,0.6152,High,0.0
2,10,2,1674,0,0,2,49,1,1,Manual Review,0.5459,Medium,0.0
0,8,2,5822,0,4,1,40,1,1,Manual Review,0.567,Medium,0.0
