monthly_income,credit_score,debt_to_income,employment_months,age,num_late_payments,existing_loans,loan_amount,loan_term_months,has_mortgage,approved,decision,probability_default,risk_level,expected_credit_loss
500.0,731.0,0.177,6.0,18.0,1.0,3.0,925.6,48.0,0.0,1.0,Manual Review,0.5689,Medium,236.97
500.0,693.0,0.041,23.0,55.0,0.0,2.0,352.0,48.0,1.0,1.0,Manual Review,0.5814,Medium,92.09
500.0,624.0,0.276,48.0,25.0,1.0,2.0,433.1,36.0,0.0,0.0,Manual Review,0.5485,Medium,106.9
500.0,568.0,0.094,72.0,36.0,0.0,1.0,443.2,24.0,0.0,1.0,Manual Review,0.5694,Medium,113.57
485.7,675.0,0.412,35.0,30.0,2.0,0.0,295.9,84.0,0.0,1.0,Manual Review,0.5445,Medium,72.5
485.7,651.0,0.516,39.0,38.0,2.0,0.0,865.0,60.0,0.0,1.0,Manual Review,0.5864,Medium,228.27
500.0,691.0,0.634,4.0,44.0,1.0,1.0,307.2,60.0,0.0,0.0,Manual Review,0.5637,Medium,77.92
500.0,670.0,0.272,104.0,30.0,0.0,5.0,201.4,36.0,0.0,1.0,Manual Review,0.5345,Medium,48.45
431.8,703.0,0.161,5.0,33.0,0.0,3.0,2000.0,60.0,1.0,1.0,Rejected,0.621,High,558.88
500.0,577.0,0.302,53.0,49.0,1.0,4.0,422.9,48.0,0.0,0.0,Manual Review,0.5825,Medium,110.85
433.1,725.0,0.247,11.0,54.0,2.0,1.0,56.2,36.0,0.0,1.0,Manual Review,0.5524,Medium,13.97
432.6,635.0,0.277,97.0,43.0,1.0,1.0,1228.1,24.0,0.0,0.0,Rejected,0.6179,High,341.48
500.0,786.0,0.472,45.0,36.0,0.0,2.0,1225.0,36.0,0.0,1.0,Manual Review,0.5966,Medium,328.9
209.8,564.0,0.219,50.0,35.0,1.0,0.0,648.8,24.0,0.0,0.0,Rejected,0.6199,High,180.99
230.5,758.0,0.251,8.0,44.0,0.0,1.0,746.0,120.0,0.0,1.0,Rejected,0.6261,High,210.17
412.2,635.0,0.134,21.0,40.0,1.0,1.0,2000.0,12.0,0.0,0.0,Rejected,0.6316,High,568.4
329.0,567.0,0.258,34.0,18.0,1.0,1.0,208.3,36.0,0.0,0.0,Manual Review,0.5303,Medium,49.71
500.0,581.0,0.576,52.0,44.0,0.0,1.0,500.7,48.0,0.0,1.0,Manual Review,0.5789,Medium,130.43
346.7,594.0,0.175,3.0,27.0,0.0,2.0,2000.0,36.0,1.0,0.0,Rejected,0.6199,High,557.9
269.5,653.0,0.44,118.0,20.0,1.0,3.0,2000.0,48.0,1.0,1.0,Rejected,0.6065,High,545.86
500.0,661.0,0.24,79.0,18.0,2.0,0.0,335.8,24.0,0.0,1.0,Manual Review,0.5317,Medium,80.35
487.7,574.0,0.446,11.0,35.0,0.0,1.0,2000.0,60.0,0.0,0.0,Rejected,0.6256,High,563.04
500.0,618.0,0.418,62.0,25.0,1.0,2.0,855.4,36.0,0.0,0.0,Manual Review,0.559,Medium,215.16
267.8,791.0,0.125,26.0,18.0,2.0,1.0,1488.6,48.0,0.0,1.0,Rejected,0.6138,High,411.14
415.9,758.0,0.414,22.0,33.0,1.0,2.0,833.2,60.0,1.0,0.0,Manual Review,0.5798,Medium,217.39
500.0,654.0,0.086,13.0,32.0,0.0,1.0,574.7,84.0,1.0,1.0,Rejected,0.6547,High,169.31
307.1,623.0,0.102,31.0,36.0,0.0,3.0,2000.0,60.0,0.0,1.0,Rejected,0.6252,High,562.69
500.0,629.0,0.229,47.0,30.0,1.0,3.0,294.9,48.0,0.0,1.0,Manual Review,0.5436,Medium,72.13
404.3,669.0,0.547,19.0,59.0,0.0,2.0,2000.0,36.0,0.0,0.0,Rejected,0.639,High,575.11
471.9,538.0,0.351,35.0,44.0,1.0,0.0,2000.0,48.0,0.0,0.0,Rejected,0.629,High,566.13
404.1,599.0,0.139,43.0,32.0,1.0,1.0,1339.3,60.0,1.0,0.0,Rejected,0.6185,High,372.75
